FeatureName,DepositName,SiteName,Region,NGR,East,North,SiteLocation,RelationToNearestSummit,LandscapeZone,ApproxHeight ASL (m),CountrysideCharacterArea2012,LocationType,RelationToLocalSites,SiteDescription,DiameterRoundSites,SiteType,FeatureType,FeatureOrientation,FeatureDimensions,FeatureLength(cm),FeatureWidth(cm),FeatureDepth(cm),FeatureLocation,LocationRelToCentre,FeatureDescription,AssociatedFeatures,TreatmentOfRemains,MaterialsInDeposit,ArrangementOfDeposit,HeadSideFace,MNIWithinDeposit,SexOfIndsWithin Deposit,AgeOfIndsWithinDeposit,OtherSkeletalInformation,AccessionTWAMHumanRemains,BoneAnalysisUsed,ArtefactsInDepositList,ArtefactDescriptions,VesselType,RefinedTypologies,VesselIllustrations,OtherFindIllustrations,DatingOfDeposit,DatingOfHumanRemains,EstimatedDateRange(Fowler2012),PrimaryReferences,DecadeOfExcavation,OtherNotes,Excavator,UsedforFowler2013?,UsedforRitualChanges Analysis?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How Tallon burial 2,How Tallon burial 2,How Tallon (Barningham Moor) ,County Durham,NZ057074,405700,507400,"On crest of How Tallon Ridge, Barningham Moor. Spring within 1km",Summit,Upland,447m,North Pennines,Upland,Isolated but within dense cluster of rock art panels,"Cairn, oval in shape when excavated, ""60 yards in circumference"", 2m high when excavated, oriented N-S. Some flints were found within the mound material, including probably 2 leaf-shaped arrowheads as well as a barbed and tanged arrowhead",?,Oval cairn,Cist,E-W,Not given,?,?,?,"SSW of centre of cairn, near to centre",South South West,"Cist, oriented East-West",One of 5 burials plus one empty cist,"Uncremated burial, ?crouched","As well as the skeletal remains and the artefacts, a 'tooth of bos longifrons', now identified only as Bos sp. was found 'near to the bones'","Head to the E, side and position facing not recorded, objects recorded only as ""close to the body""",?,1,Male (?),"Adult, 50+ year old","Excavators argue for an elderly individual as ""the teeth were worn down to the level of the gums, as is they had been ground away by eating hard substances"", Weyman agrees and identifies tooth loss from gum disease (molars), and cervical caries on some teeth",N,Re-examined by Weyman in 1980,"Fragments of Food Vessel, leaf-shaped flint knife , barbed and tanged flint arrowhead, plano-convex scraper/knife, fragmentary second arrowhead",Knife has a finely serrated edge; tang and one barb missing from first arrowhead ,"Food Vessel, plano-convex knife ","Gibson (1980, 24-6) does not identify the Food Vessel as either Vase or Bowl, but the vessel had a clear cavetto zone beneath the rim, and had grog fabric (NB fabrics not recorded in Gibson 1978 for other Food Vessels); Young (1980) identifies the various flints: PLano-convex knife + barbed and tanged arrowhead + lead-shaped knife",Y (Young and Gibson in Coggis and Clews 1980),Y (Young and Gibson in Coggis and Clews 1980),N/a,N,2150-1750 BC,"Gatty, R.A. 1898. How Tallon. The Reliquary and Illustrated Archaeologist (New Series) 4, 105-8 & Coggins, D., and Clews, S. 1980. Archaeology in the Bowes Museum. Transactions of
the Architectural and Archaeological Society of Durham and Northumberland (New
Series) 5, 17-30.",1890s,,Gatty and Millbank,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How Tallon burial 3,How Tallon burial 3,How Tallon (Barningham Moor) ,County Durham,NZ057074,405700,507400,"On crest of How Tallon Ridge, Barningham Moor. Spring within 1km",Summit,Upland,447m,North Pennines,Upland,Isolated but within dense cluster of rock art panels,"Cairn, oval in shape when excavated, ""60 yards in circumference"", 2m high when excavated, oriented N-S. Some flints were found within the mound material, including probably 2 leaf-shaped arrowheads as well as a barbed and tanged arrowhead",?,Oval cairn,Body lain on top of empty cist,E-W,Not given,?,?,?,Centre of cairn,Centre,"Cist, oriented East-West",One of 5 burials plus one empty cist,"Uncremated burial, ?crouched",None recorded,"Head to the E, side and position facing not recorded, objects recorded only as ""beside the body""",?,1,Indet.,"Subadult, 15-18 years old",Teeth described as perfect; Weyman identifies the age on basis of teeth ,N,Re-examined by Weyman in 1980,"Fragments of a Beaker, flint ","Which flint was from this deposit cannot be accurately identified which from collection, and the Beaker type cannot be identified from the surviving remains",Beaker (?),"Gibson (1980, 24-6) identifies as a Beaker on basis of fine fabric and comb decoration, suggesting a late Beaker on the basis of the unusual decoration, but the base shape is also unusual for a Beaker and it could be another vessel type; Young (1980) identifies the various flints",Y (Young and Gibson in Coggis and Clews 1980),Y (Young and Gibson in Coggis and Clews 1980),N/a,N,2450-1800 BC?,"Gatty, R.A. 1898. How Tallon. The Reliquary and Illustrated Archaeologist (New Series) 4, 105-8 & Coggins, D., and Clews, S. 1980. Archaeology in the Bowes Museum. Transactions of
the Architectural and Archaeological Society of Durham and Northumberland (New
Series) 5, 17-30.",1890s,,Gatty and Millbank,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How Tallon burial 4,How Tallon burial 4,How Tallon (Barningham Moor) ,County Durham,NZ057074,405700,507400,"On crest of How Tallon Ridge, Barningham Moor. Spring within 1km",Summit,Upland,447m,North Pennines,Upland,Isolated but within dense cluster of rock art panels,"Cairn, oval in shape when excavated, ""60 yards in circumference"", 2m high when excavated, oriented N-S. Some flints were found within the mound material, including probably 2 leaf-shaped arrowheads as well as a barbed and tanged arrowhead",?,Oval cairn,Probably a grave,?,Not given,?,?,?,Unclear,?,"Site report does not detail the features, only the 'finds' of the skeletal remains - in this case 1m below the surface of the barrow",One of 5 burials plus one empty cist,"Uncremated burial, ?crouched","Hundreds of snail shells (since identified as Cepaea nemoralis, or Grove Snail, a brightly-coloured land snail, which could be eaten) found near to burials 4 and 5 ",Not recorded,?,1,Female (?),Subadult/Adult 16-20 years old,Weyman notes LEH on teeth and interprets as likely sustained c. age 5,N,Re-examined by Weyman in 1980,None,N/a,N/a,N/a,N/a,N/a,N/a,N,Pre 1750 BC?,"Gatty, R.A. 1898. How Tallon. The Reliquary and Illustrated Archaeologist (New Series) 4, 105-8 & Coggins, D., and Clews, S. 1980. Archaeology in the Bowes Museum. Transactions of
the Architectural and Archaeological Society of Durham and Northumberland (New
Series) 5, 17-30.",1890s,,Gatty and Millbank,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How Tallon burial 5,How Tallon burial 5,How Tallon (Barningham Moor) ,County Durham,NZ057074,405700,507400,"On crest of How Tallon Ridge, Barningham Moor. Spring within 1km",Summit,Upland,447m,North Pennines,Upland,Isolated but within dense cluster of rock art panels,"Cairn, oval in shape when excavated, ""60 yards in circumference"", 2m high when excavated, oriented N-S. Some flints were found within the mound material, including probably 2 leaf-shaped arrowheads as well as a barbed and tanged arrowhead",?,Oval cairn,Probably a grave,?,Not given,?,?,?,Unclear,?,"Site report does not detail the features, only the 'finds' of the skeletal remains - in this case 1m below the surface of the barrow",One of 5 burials plus one empty cist,"Uncremated burial, ?crouched","Hundreds of snail shells (since identified as Cepaea nemoralis, or Grove Snail, a brightly-coloured land snail, which could be eaten) found near to burials 4 and 5 ",Not recorded,?,1,Not recorded,Not recorded,Not identified in the collection by Weyman and site report contains no details,N,Re-examination attempted in 1980 by Weyman -not found in collection,"""three flint scrapers and a sharp pointed flint"" ",Young's re-analysis of the collection suggests that there can only have been two scrapers here and the nature of the other two flints cannot be ascertained with certainty,N/a,Not possible,N/a,N/a,N/a,N,Pre 1750 BC?,"Gatty, R.A. 1898. How Tallon. The Reliquary and Illustrated Archaeologist (New Series) 4, 105-8 & Coggins, D., and Clews, S. 1980. Archaeology in the Bowes Museum. Transactions of
the Architectural and Archaeological Society of Durham and Northumberland (New
Series) 5, 17-30.",1890s,,Gatty and Millbank,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howick cist 1,Howick cist 1,Howick cist cemetery,Northumberland,NU25851657,425850,616570,"On coastal plain/low hills, now at cliff edge",East,Coastal,22m,North Northumberland Coastal Plain,Coastal,One of 5 cists,"Group of 5 cists. Cists 1, 2, 3 and 5 all within 20m of one another, cist 4 another 20m away",No mound recorded,Cist cemetery,Cist,E-W,"1.3m by .83m wide, .35m deep. Measurements for cut of pit. Internal dimensions: .44m by .36m",130,83,35,5m E from cist 2,N/a,"Cist set within pit cut into subsoil. The cist comprised 9 sandstone slabs, set in an oval pit",One of 5 cists. A later feature with evidence for heavy burning lies between cists 3 and 5,Uncremated remains?,Brown clay sand with charcoal flecks,Unknown,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,None,N/a,N/a,N/a,N/a,N/a,N,N/a,?2300-1750 BC?,"Waddington, C., Bailey, G., Boomer, I. & Milner, N. 2005. A Bronze Age Cist Cemetery at Howick, Northumberland. Archaeological Journal 162, 65-95.",2000s,,"C Waddington, G Bailey, I Boomer and N Milner",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howick cist 2,Howick cist 2,Howick cist cemetery,Northumberland,NU25851657,425850,616570,"On coastal plain/low hills, now at cliff edge",East,Coastal,22m,North Northumberland Coastal Plain,Coastal,One of 5 cists,"Group of 5 cists. Cists 1, 2, 3 and 5 all within 20m of one another, cist 4 another 20m away",No mound recorded,Cist cemetery,Cist,NW-SE,"1.2m by .8m wide, .3m deep (measurements of pit): cist interla dimesnsions .58m by .2m",120,80,30,"5m W from cist 1, 2.5 E of cist 3",N/a,"Cist set within pit, oriented North West-South East. A limestone cobble was placed on top of the cover stone",One of 5 cists. A later feature with evidence for heavy burning lies between cists 3 and 5,Uncremated remains,"Upper fill was a yellow-brown silty sand, lower fill light brown sand with charcoal flecks","The skull fragments were found in the lower fill at the N end of the cist. Pot fragments were found ""at the edge"" of this lower fill",?,1 (?),Indet.,Child,"Only 8 very small fragments of a small skull were found, and these are listed as ""probably human""",N,N/a,"""tiny fragments of abraded pottery""",,Not possible,Not possible,N,N/a,N,N,?2300-1750 BC?,"Waddington, C., Bailey, G., Boomer, I. & Milner, N. 2005. A Bronze Age Cist Cemetery at Howick, Northumberland. Archaeological Journal 162, 65-95.",2000s,,"C Waddington, G Bailey, I Boomer and N Milner",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howick cist 3,Howick cist 3,Howick cist cemetery,Northumberland,NU25851657,425850,616570,"On coastal plain/low hills, now at cliff edge",East,Coastal,22m,North Northumberland Coastal Plain,Coastal,One of 5 cists,"Group of 5 cists. Cists 1, 2, 3 and 5 all within 20m of one another, cist 4 another 20m away",No mound recorded,Cist cemetery,Cist,NE-SW,"1.19m by .77m wide, .2m deep (measurements for oval pit). Interior of cist .36m by .56m",119,77,20,3m NNW of cist 2,N/a,"Cist set within pit, oriented North East-South West",One of 5 cists. A later feature with evidence for heavy burning lies between cists 3 and 5,Uncremated remains?,"Upper fill was a medium brown sand with charcoal flecks. Lowr fill was light brown yellowy sand, with noticeable area of staining resembling the shape of a human skull",Unknown,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,None,N/a,N/a,N/a,N/a,N/a,N,N/a,?2300-1750 BC?,"Waddington, C., Bailey, G., Boomer, I. & Milner, N. 2005. A Bronze Age Cist Cemetery at Howick, Northumberland. Archaeological Journal 162, 65-95.",2000s,,"C Waddington, G Bailey, I Boomer and N Milner",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howick cist 4,Howick cist 4,Howick cist cemetery,Northumberland,NU25851657,425850,616570,"On coastal plain/low hills, now at cliff edge",East,Coastal,22m,North Northumberland Coastal Plain,Coastal,One of 5 cists,"Group of 5 cists. Cists 1, 2, 3 and 5 all within 20m of one another, cist 4 another 20m away",No mound recorded,Cist cemetery,Cist,NW-SE,"1.8m by .9m wide, 1.06m deep (measurements for pit in which cist was set). Cist internal dimensions: 1.3m by .54m",180,90,106,20m NE of all the other cists,N/a,"Cist set within pit into subsoil, oriented North West-South East. cist made of 14 slabs, a few of them shale, the rest sandstone. 6 cover slabs",One of 5 cists. A later feature with evidence for heavy burning lies between cists 3 and 5,Uncremated remains?,"Fill was a medium brown silty sand, charcoal flecks, reddened clay and some areas of staining evident in the sand fill. One of the cover slabs had a ""burnt residue"" attached to its underside when found",Unknown,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,Flint flake,,N/a,Not possible,N/a,N,N,N/a,?2300-1750 BC?,"Waddington, C., Bailey, G., Boomer, I. & Milner, N. 2005. A Bronze Age Cist Cemetery at Howick, Northumberland. Archaeological Journal 162, 65-95.",2000s,,"C Waddington, G Bailey, I Boomer and N Milner",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howick cist 5,Howick cist 5,Howick cist cemetery,Northumberland,NU25851657,425850,616570,"On coastal plain/low hills, now at cliff edge",East,Coastal,22m,North Northumberland Coastal Plain,Coastal,One of 5 cists,"Group of 5 cists. Cists 1, 2, 3 and 5 all within 20m of one another, cist 4 another 20m away",No mound recorded,Cist cemetery,Cist,NNE-SSW,"1m by .9m wide, .2m deep (pit dimensions). Interior of cist .7m by .5m",100,90,20,10m NNW of cist 3,N/a,"Cist set within pit into subsoil, oriented North North West-South South East. Cist made of 4 sandstone slabs ""and a sandstone block""",One of 5 cists. A later feature with evidence for heavy burning lies between cists 3 and 5. This feature had caused burning marks on the tops of the side slabs to this cist,Uncremated remains?,Fill was a light brown sand with charcoal flecks. A piece of burnt clay was found,Unknown,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,"2 small sherds of Food Vessel, ""some undiagnostic flint flakes""",,Food Vessel,Not possible,N,N,N,N/a,2150-1750 BC,"Waddington, C., Bailey, G., Boomer, I. & Milner, N. 2005. A Bronze Age Cist Cemetery at Howick, Northumberland. Archaeological Journal 162, 65-95.",2000s,,"C Waddington, G Bailey, I Boomer and N Milner",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howick Heugh ring cairn burial,Howick Heugh ring cairn burial,Howick Heugh ring cairn,Northumberland,NU237171,423700,617100,Cairn at edge of low ridge overlooking lowlands towards the coast - good view but difficult to see the site from surrounding areas as not located at edge or at highest point of ridge. Spring within 1km,North East,Low hills,80m?,North Northumberland Coastal Plain,Hillside near to stream,"Two cairns 300m SE of site, one mound 500m NW","Ring cairn 5m in external diameter, ring of the cairn is 1m wide, built on natural rock outcrop. Area within ring, including over this deposit, was infilled with brash and earth",5m,Ring cairn,This bone is part of a disturbed deposit: found within soil of internal mound but at edge of area of antiquarian disturbance,?,Unclear due to disturbance,?,?,?,Stray find to SW of area enclosed by ring cairn,South West,Unknown,"Natural outcrop. Rock fissures were here used to deposit cremations, and the space of deposition was bounded by a ring cairn",Uncremated remains,Unknown,Unknown,?,1 (?),Male,Adult,Skull fragments only,N,Excavation report,None,N/a,N/a,N/a,N,Y,N,N,?2450-1750?,"Jobey, G. & Newman, T.G. 1975. A Collared Urn Cremation on Howick Heugh, Northumberland. Archaeologia Aeliana (5th Series) 3, 1-16.",1970s,At edge of area disturbed by antiquarian activity,G Jobey and T Newman,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howick Heugh ring cairn cremation 1,Howick Heugh ring cairn cremation 1,Howick Heugh ring cairn,Northumberland,NU237171,423700,617100,Cairn at edge of low ridge overlooking lowlands towards the coast - good view but difficult to see the site from surrounding areas as not located at edge or at highest point of ridge. Spring within 1km,North East,Low hills,80m?,North Northumberland Coastal Plain,Hillside near to stream,"Two cairns 300m SE of site, one mound 500m NW","Ring cairn 5m in external diameter, ring of the cairn is 1m wide, built on natural rock outcrop. Area within ring, including over this deposit, was infilled with brash and earth",5m,Ring cairn,Natural crevice in bedrock,N/a,Two discrete heaps in a rock crevice .3m deep,?,?,30,.5m from the SW perimeter of area enclosed by the ring cairn,South West,Rock crevice .3m deep,"Natural outcrop. Rock fissures were here used to deposit cremations, and the space of deposition was bounded by a ring cairn",Multiple cremation,Charcoal mixed in with the bone. Crevice otherwise filled with fine brash,"Collared Urn was partial, but enough present to say that it lay on its side, mouth to the N",N/a,2,"Female, Indet.","Adult over 21 (F), Child 1-2 years old",None,N,Excavation report,"Fragments of a small Collared Urn, a broken whetstone",,Miniature Collared Urn,"Miniature Collared Urn, Gibson no. 125",YY,Bone pin fragments,3390+-90 BP (1870-1530 cal BC) [I-6974]. Radiocarbon determination based on charcoal sample.,N,1900-1550 BC,"Jobey, G. & Newman, T.G. 1975. A Collared Urn Cremation on Howick Heugh, Northumberland. Archaeologia Aeliana (5th Series) 3, 1-16.",1970s,,G Jobey and T Newman,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howick Heugh ring cairn cremation 2,Howick Heugh ring cairn cremation 2,Howick Heugh ring cairn,Northumberland,NU237171,423700,617100,Cairn at edge of low ridge overlooking lowlands towards the coast - good view but difficult to see the site from surrounding areas as not located at edge or at highest point of ridge. Spring within 1km,North East,Low hills,80m?,North Northumberland Coastal Plain,Hillside near to stream,"Two cairns 300m SE of site, one mound 500m NW","Ring cairn 5m in external diameter, ring of the cairn is 1m wide, built on natural rock outcrop. Area within ring, including over this deposit, was infilled with brash and earth",5m,Ring cairn,Natural crevice in bedrock,N/a,Discrete dump in linear rock fissure,?,?,?,"c. 1m from centre. Fissure runs SE to NW across the centre of the area enclosed by the ring cairn.  Area within ring, including over this deposit, was infilled with brash and earth",Centre,Discrete dump in linear rock fissure,"Natural outcrop. Rock fissures were here used to deposit cremations, and the space of deposition was bounded by a ring cairn",Cremation,Charcoal mixed in with the bone,Unclear,N/a,Insufficient bone recovered for analysis,N/a,N/a,Scraps of cremated bone with charcoal only,N,Excavation report,None,N/a,N/a,N/a,Y,Flints,N,N,?post 2000 BC?,"Jobey, G. & Newman, T.G. 1975. A Collared Urn Cremation on Howick Heugh, Northumberland. Archaeologia Aeliana (5th Series) 3, 1-16.",1970s,Antiquarian activity had disturbed the soil above these deposits,G Jobey and T Newman,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howick Heugh ring cairn cremation 3,Howick Heugh ring cairn cremation 3,Howick Heugh ring cairn,Northumberland,NU237171,423700,617100,Cairn at edge of low ridge overlooking lowlands towards the coast - good view but difficult to see the site from surrounding areas as not located at edge or at highest point of ridge. Spring within 1km,North East,Low hills,80m?,North Northumberland Coastal Plain,Hillside near to stream,"Two cairns 300m SE of site, one mound 500m NW","Ring cairn 5m in external diameter, ring of the cairn is 1m wide, built on natural rock outcrop. Area within ring, including over this deposit, was infilled with brash and earth",5m,Ring cairn,Natural crevice in bedrock,N/a,Discrete dump in linear rock fissure,?,?,?,"Central. Fissure runs SE to NW across the centre of the area enclosed by the ring cairn. Area within ring, including over this deposit, was infilled with brash and earth",Centre,Discrete dump in linear rock fissure,"Natural outcrop. Rock fissures were here used to deposit cremations, and the space of deposition was bounded by a ring cairn",Cremation,Charcoal mixed in with the bone,Unclear,N/a,Insufficient bone recovered for analysis,N/a,N/a,Scraps of cremated bone with charcoal only,N,Excavation report,Calcined flint fragment,,N/a,Not possible,Y,Y,N,N,?post 2000 BC?,"Jobey, G. & Newman, T.G. 1975. A Collared Urn Cremation on Howick Heugh, Northumberland. Archaeologia Aeliana (5th Series) 3, 1-16.",1970s,Antiquarian activity had disturbed the soil above these deposits,G Jobey and T Newman,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howick Heugh ring cairn cremation 4,Howick Heugh ring cairn cremation 4,Howick Heugh ring cairn,Northumberland,NU237171,423700,617100,Cairn at edge of low ridge overlooking lowlands towards the coast - good view but difficult to see the site from surrounding areas as not located at edge or at highest point of ridge. Spring within 1km,North East,Low hills,80m?,North Northumberland Coastal Plain,Hillside near to stream,"Two cairns 300m SE of site, one mound 500m NW","Ring cairn 5m in external diameter, ring of the cairn is 1m wide, built on natural rock outcrop. Area within ring, including over this deposit, was infilled with brash and earth",5m,Ring cairn,Natural crevice in bedrock,N/a,Discrete dump in linear rock fissure,?,?,?,"c1.5m from centre of site. Fissure runs SE to NW across the centre of the area enclosed by the ring cairn. Area within ring, including over this deposit, was infilled with brash and earth",Centre,Discrete dump in linear rock fissure,"Natural outcrop. Rock fissures were here used to deposit cremations, and the space of deposition was bounded by a ring cairn",Cremation,Charcoal mixed in with the bone,Unclear,N/a,Insufficient bone recovered for analysis,N/a,N/a,Scraps of cremated bone with charcoal only,N,Excavation report,None,N/a,N/a,N/a,N,N,N,N,?post 2000 BC?,"Jobey, G. & Newman, T.G. 1975. A Collared Urn Cremation on Howick Heugh, Northumberland. Archaeologia Aeliana (5th Series) 3, 1-16.",1970s,Antiquarian activity had disturbed the soil above these deposits,G Jobey and T Newman,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humbleton Burn house,Humbleton Burn house,Humbleton Burn house,Northumberland,Unknown,?,?,"""On a rising ground"" near Wooler",?,Unknown,?,Cheviot Fringe,?,Isolated,Cist ,No mound recorded,Solo cist,Cist,?,Not given,?,?,?,Not given,N/a,Not given,None,"Uncremated burial, ?crouched",Cist made of four side slabs and one heavy lid,Not given,?,1,Male (?),Adult,"Bones described as very thick and the individual as ""a very tall and stout man"" ",N,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2300-1750 BC,Kerr 1810 letter.,1810s,Very short comment from 1810 letter,A Kerr,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntlaw Quarry cist,Huntlaw Quarry cist,"Huntlaw, Belsay",Northumberland,Unknown,?,?,Unknown,?,Unknown,?,Mid Northumberland,?,Isolated,Cist,No mound recorded,Solo cist,Cist ,?,1.2m long by .9m wide (no orientation or depth given),120,90,?,Unknown,N/a,Cist built in pit cut into the subsoil. Cist had two cover slabs,None,Crouched burial,Not recorded,"""a skeleton lying in a contracted position, with the knees drawn up to the chest"" No orientation given. The Beaker was placed ""close to the skull""",?,1,Indet.,Indet.,"""The skull and two other bones, one a thigh bone and the other apparently a radius or ulna, appeared to be fairly complete, but on touching any part of the they crumbled away to dust""",N,Excavation report,Beaker,Vessel decorated with small thumbnail impressions,Beaker,"WC, FP","Y (photo, + drawing in Tait and on accession card)",N,N/a,N/a,2200-2000 BC,"Hedley, W.P. 1928. Loan to the Museum. Proceedings of the Society of Antiquaries of Newcastle Upon Tyne (4th Series), 19-21.",1920s,Discovered during quarrying - description is reconstructed from a verbal testimony,W Hedley,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilee Wood cist,Jubilee Wood ,"Jubilee Wood, Roddam",Northumberland,NU0320,403000,602000,Not recorded,West,Low hills,130?,Cheviot Fringe,Hillside near to stream,"""this burial appeared to be one of a series situated along the side of the old road which runs from Glanton north to Wooler."" A second cist is reported from Roddam School, c. 350m away, exc. 1860.",Cist oriented E-W,No mound recorded,Solo cist,Cist,E-W,Not recorded,?,?,?,Not recorded,N/a,"Cist, oriented East-West","""Around the chamber were indications of secondary burials or cremations""","Uncremated burial, ?crouched + Uncremated remains",Not recorded,Not recorded,?,1 or 2,Indet.,"Adult (1), Child (1)","The bones discussed include from a child and an adult, but it is not clear which bones came from the cist",N,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2300-1750 BC?,"Holderness, P. R. 1967. Visit of the Berwickshire Naturalists’ Club to Roddam on 3rd June 1967. History of the Berwickshire Naturalist’s Club 37, 202-3",1930s,,"Reported 1967, P Holderness",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirkhaugh barrow 1 deposit ,Kirkshaugh barrow 1 ,"Kirkshaugh, Alston",Northumberland,NY700504,370000,550400,"Upland plateau above the South Tyne River, placed on a small limestone knoll on the plateau and directly overlooking steep bank of South Tyne to the SW. Spring within 1km",West,Upland ,303m,North Pennines,Hillside with river view,One of two barrows within 400m of each other,"Round cairn, 7.3m in diameter by .5m high, and capped with a single course of limestone slabs in the centre, and around the edges had layers of cairn material several courses thick (dimensions given are for the full extent of this barrow/cairn). The earth core of the mound was only c.35m deep, the whole monument built on limestone bedrock. At the centre of the rock surface covered by the barrow there was a fissure in the rock c. .6m long and .2m wide, c..15m deep, filled with clay. Patches of clay were found on the rock surface under the barrow",7.3m,Round barrow,"Human remains lain on rock surface, covered with barrow. ",?,"Uncertain, but area in which the prehistoric finds were located was at the centre of the mound and c. 1.2m in diameter, though the vessel was located at the edge of the earth-filled area, c. 1.5m SW of the centre of the monument. This void in the cairn material, filled with a clay soil, was c. .60m high from the rock beneath",120,120,60,"At the centre of the cairn, and at its base. Primary deposit",Centre,"Void in cairn filled with a clay soil, possibly void left by organic matter placed at the centre of the cairn",None recorded,Uncremated remains?,"Clay in rock fissue and possibly smeared over rock surface prior to construction, earth (possibly decayed organic structure?) in the centre, and stone capping to cairn",The vessel was located standing upright to the SW of the central area,?,No bone recovered,N/a,N/a,None ,N,N/a,"A gold basket ear-ring/hairclasp, a flint barbed and tanged arrowhead, 1 flint chisel, 6 worked flint flakes, 2 flint cores and ""a number of"" unworked flakes, a fragment of a whetstone, a fragment of a flat sandstone rubber, a nodule of iron pyrites, a sherd from a yellow-brown medieval glazed vessel, a late 17th century AD Staffordshire mug handle: the excavator notes significant rabbit burrow intrusions. ","A vessel was found decorated with horizontal bands of cord impressions, covered with and crushed by a large stone: Jobey (1966: 220) corrects the excavator, arguing this was a ""type B Beaker"" and not a Food Vessel. It is an AOC Beaker.",Beaker,"MC or LC, AOC",Y,Y,N/a,N/a,2450-2200 BC,"Maryon, H. 1936. Excavation of Two Bronze Age Barrows at Kirkhaugh, Northumberland. Archaeologia Aeliana (4th Series) 14, 207-17.",1930s,,H Maryon,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirkhaugh barrow 2 cist,Kirkshaugh barrow 2 cist ,"Kirkshaugh, Alston",Northumberland,NY700503,370000,550300,"Upland plateau above the South Tyne River, placed on a small limestone knoll on the plateau and directly overlooking steep bank of South Tyne to the SW. Spring within 1km",West,Upland,300m,North Pennines,Hillside with river view,One of two barrows within 400m of each other,"Round barrow/cairn with mixture of earth and stone composition. Diameter c. 5.4m, height .76m.",5.4m,Round barrow,Cist,?,".6m long (orientation not given), .45m wide and .23m deep.",60,45,23,"""near the centre"" of the mound. Cist was presumably built on top of the natural rock surface as there is no mention of it being cut into the rock and it is described as ""formed from rough boulders"" - and also that ""the rock surface beneath the barrow was cleared and swept"" (Maryon 1936: 216)",Centre,"Cist made from ""rough boulders"", constructed on rock outcrop and covered with barrow. A roofing of flat slabs and the north side was mentioned, but this was not present to the south side","None. Cist may have been opened previously. The stone rubber fragment, along with animal bones (some fragments could be identified: cattle molar, pig canine, sheep molar and deer antler tine (species not given)) were found ""in the earth about the cist.",Uncremated remains?,None recorded,Unknown,?,No bone recovered,N/a,N/a,"Given the presence of animal bones it is surprising that no human bone was recovered from either of these barrows, and it is possible that any burials were disturbed and bones removed",N,N/a,None within the cist - see 'associated contexts',N/a,N/a,N/a,N,Y,N/a,N/a,?2300-1750?,"Maryon, H. 1936. Excavation of Two Bronze Age Barrows at Kirkhaugh, Northumberland. Archaeologia Aeliana (4th Series) 14, 207-17.",1930s,,H Maryon,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
